cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
198    391    load            64     13   51       0     
199    392    sext            8      8    0        0     
200    393    call            64     14   49       1     
201    395    load            64     9    55       0     
202    396    add             32     4    28       0     
203    397    store           32     4    28       0     
204    381    load            64     0    54       10    
205    382    sext            32     0    20       12    
206    383    getelementptr   64     1    51       12    
207    384    load            64     0    51       13    
208    385    sext            8      0    0        8     
209    386    icmp            32     0    0        32    
210    387    br              1      1    0        0     
211    388    load            64     10   54       0     
212    389    sext            32     12   20       0     
213    390    getelementptr   64     13   51       0     
214    391    load            64     13   51       0     
215    392    sext            8      8    0        0     
216    393    call            64     14   49       1     
217    395    load            64     10   54       0     
218    396    add             32     4    28       0     
219    397    store           32     4    28       0     
220    381    load            64     0    55       9     
221    382    sext            32     0    20       12    
222    383    getelementptr   64     1    51       12    
223    384    load            64     0    51       13    
224    385    sext            8      0    0        8     
225    386    icmp            32     0    0        32    
226    387    br              1      1    0        0     
227    388    load            64     8    56       0     
228    389    sext            32     12   19       1     
229    390    getelementptr   64     12   51       1     
230    391    load            64     12   51       1     
231    392    sext            8      8    0        0     
232    393    call            64     14   49       1     
233    395    load            64     9    55       0     
234    396    add             32     4    28       0     
235    397    store           32     4    28       0     
236    381    load            64     0    53       11    
237    382    sext            32     0    20       12    
238    383    getelementptr   64     0    51       13    
239    384    load            64     0    51       13    
240    385    sext            8      0    0        8     
241    386    icmp            32     0    0        32    
242    387    br              1      1    0        0     
243    388    load            64     8    56       0     
244    389    sext            32     12   20       0     
245    390    getelementptr   64     13   51       0     
246    391    load            64     14   50       0     
247    392    sext            8      8    0        0     
248    393    call            64     14   49       1     
249    395    load            64     9    55       0     
250    396    add             32     4    28       0     
251    397    store           32     4    28       0     
252    381    load            64     0    53       11    
253    382    sext            32     0    20       12    
254    383    getelementptr   64     0    51       13    
255    384    load            64     0    51       13    
256    385    sext            8      0    0        8     
257    386    icmp            32     0    0        32    
258    387    br              1      1    0        0     
259    388    load            64     7    56       1     
260    389    sext            32     10   20       2     
261    390    getelementptr   64     13   51       0     
262    391    load            64     11   51       2     
263    392    sext            8      8    0        0     
264    393    call            64     14   49       1     
265    395    load            64     8    56       0     
266    396    add             32     4    28       0     
267    397    store           32     4    28       0     
268    381    load            64     0    57       7     
269    382    sext            32     0    19       13    
270    383    getelementptr   64     0    51       13    
271    384    load            64     0    50       14    
272    385    sext            8      0    0        8     
273    386    icmp            32     0    0        32    
274    387    br              1      1    0        0     
275    388    load            64     10   54       0     
276    389    sext            32     12   20       0     
277    390    getelementptr   64     13   51       0     
278    391    load            64     13   51       0     
279    392    sext            8      8    0        0     
280    393    call            64     14   49       1     
281    395    load            64     10   54       0     
282    396    add             32     4    28       0     
283    397    store           32     4    28       0     
284    381    load            64     0    56       8     
285    382    sext            32     1    20       11    
286    383    getelementptr   64     2    51       11    
287    384    load            64     2    51       11    
288    385    sext            8      1    0        7     
289    386    icmp            32     1    0        31    
290    387    br              1      1    0        0     
291    388    load            64     7    57       0     
292    389    sext            32     13   19       0     
293    390    getelementptr   64     13   51       0     
294    391    load            64     13   51       0     
295    392    sext            8      8    0        0     
296    393    call            64     14   49       1     
297    395    load            64     7    57       0     
298    396    add             32     3    29       0     
299    397    store           32     3    29       0     
300    381    load            64     0    56       8     
301    382    sext            32     0    20       12    
302    383    getelementptr   64     0    51       13    
303    384    load            64     0    51       13    
304    385    sext            8      0    0        8     
305    386    icmp            32     0    0        32    
306    387    br              1      1    0        0     
307    388    load            64     10   54       0     
308    389    sext            32     11   20       1     
309    390    getelementptr   64     11   51       2     
310    391    load            64     12   51       1     
311    392    sext            8      8    0        0     
312    393    call            64     14   49       1     
313    395    load            64     7    57       0     
314    396    add             32     3    29       0     
315    397    store           32     3    29       0     
316    381    load            64     0    54       10    
317    382    sext            32     0    20       12    
318    383    getelementptr   64     1    51       12    
319    384    load            64     0    51       13    
320    385    sext            8      0    0        8     
321    386    icmp            32     0    0        32    
322    387    br              1      1    0        0     
323    388    load            64     8    56       0     
324    389    sext            32     11   20       1     
325    390    getelementptr   64     12   51       1     
326    391    load            64     12   51       1     
327    392    sext            8      8    0        0     
328    393    call            64     14   49       1     
329    395    load            64     6    58       0     
330    396    add             32     3    29       0     
331    397    store           32     3    29       0     
332    381    load            64     0    58       6     
333    382    sext            32     1    20       11    
334    383    getelementptr   64     1    51       12    
335    384    load            64     1    51       12    
336    385    sext            8      0    0        8     
337    386    icmp            32     0    0        32    
338    387    br              1      1    0        0     
339    388    load            64     12   52       0     
340    389    sext            32     12   20       0     
341    390    getelementptr   64     13   51       0     
342    391    load            64     13   51       0     
343    392    sext            8      8    0        0     
344    393    call            64     14   49       1     
345    395    load            64     10   54       0     
346    396    add             32     2    30       0     
347    397    store           32     3    29       0     
348    381    load            64     0    64       0     
349    382    sext            32     0    32       0     
350    383    getelementptr   64     0    64       0     
351    384    load            64     0    64       0     
352    385    sext            8      0    8        0     
353    386    icmp            32     0    32       0     
354    387    br              1      0    1        0     
355    399    call            64     14   49       1     
356    400    call            64     0    64       0     
357    0      alloca          32     0    12       20    
358    1      alloca          32     1    12       19    
359    2      alloca          32     1    18       13    
360    3      alloca          32     0    10       22    
361    4      alloca          32     1    11       20    
362    5      alloca          32     0    12       20    
363    6      alloca          32     0    12       20    
364    7      store           64     0    64       0     
365    8      store           32     0    23       9     
366    9      store           32     1    31       0     
367    11     load            64     1    55       8     
368    12     add             32     0    32       0     
369    13     store           32     0    32       0     
370    14     sext            32     10   22       0     
371    15     getelementptr   64     12   52       0     
372    16     load            64     12   52       0     
373    17     store           8      8    0        0     
374    18     load            64     17   47       0     
375    19     sext            8      8    0        0     
376    20     call            64     14   49       1     
377    21     load            64     1    50       13    
378    22     sext            8      1    0        7     
379    23     switch          32     1    0        31    
380    41     call            64     0    31       33    
381    42     bitcast         64     1    53       10    
382    43     store           64     1    53       10    
383    44     load            64     15   49       0     
384    45     load            64     3    61       0     
385    46     getelementptr   64     16   48       0     
386    47     store           8      8    0        0     
387    48     load            64     0    62       2     
388    49     getelementptr   64     0    48       16    
389    50     store           64     0    0        64    
390    51     load            64     0    61       3     
391    52     getelementptr   64     0    54       10    
392    53     store           64     0    0        64    
393    54     load            64     0    56       8     
394    55     icmp            64     0    64       0     
395    56     br              1      0    1        0     
396    57     load            64     5    59       0     
397    58     store           64     7    57       0     
