cycle  INDEX  BIT    OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
5      373    6      alloca          32     0    0        1     
5      373    7      alloca          32     0    0        1     
5      373    8      alloca          32     0    0        1     
5      373    9      alloca          32     0    0        1     
5      373    10     alloca          32     0    0        1     
5      373    11     alloca          32     0    0        1     
5      373    12     alloca          32     0    0        1     
5      373    13     alloca          32     0    0        1     
5      373    14     alloca          32     0    0        1     
5      373    15     alloca          32     0    0        1     
5      373    16     alloca          32     0    0        1     
5      373    17     alloca          32     0    0        1     
5      373    18     alloca          32     0    0        1     
5      373    19     alloca          32     0    0        1     
5      373    20     alloca          32     0    0        1     
5      373    21     alloca          32     0    1        0     
5      373    22     alloca          32     0    1        0     
5      373    23     alloca          32     0    1        0     
5      373    24     alloca          32     0    1        0     
5      373    25     alloca          32     0    1        0     
5      373    26     alloca          32     0    1        0     
5      373    27     alloca          32     0    1        0     
5      373    28     alloca          32     0    1        0     
5      373    29     alloca          32     0    1        0     
5      373    30     alloca          32     0    1        0     
5      373    31     alloca          32     0    1        0     
6      374    0      alloca          32     0    0        1     
6      374    1      alloca          32     0    0        1     
6      374    2      alloca          32     0    0        1     
6      374    3      alloca          32     0    0        1     
6      374    4      alloca          32     0    0        1     
6      374    5      alloca          32     0    0        1     
6      374    6      alloca          32     0    0        1     
6      374    7      alloca          32     0    0        1     
6      374    8      alloca          32     0    0        1     
6      374    9      alloca          32     0    0        1     
6      374    10     alloca          32     0    0        1     
6      374    11     alloca          32     0    0        1     
6      374    12     alloca          32     0    0        1     
6      374    13     alloca          32     0    0        1     
6      374    14     alloca          32     0    0        1     
6      374    15     alloca          32     0    0        1     
6      374    16     alloca          32     0    0        1     
6      374    17     alloca          32     0    0        1     
6      374    18     alloca          32     0    0        1     
6      374    19     alloca          32     0    0        1     
6      374    20     alloca          32     0    1        0     
6      374    21     alloca          32     0    1        0     
6      374    22     alloca          32     0    1        0     
6      374    23     alloca          32     0    1        0     
6      374    24     alloca          32     0    1        0     
6      374    25     alloca          32     0    1        0     
6      374    26     alloca          32     0    1        0     
6      374    27     alloca          32     0    1        0     
6      374    28     alloca          32     0    1        0     
6      374    29     alloca          32     0    1        0     
6      374    30     alloca          32     0    1        0     
6      374    31     alloca          32     0    1        0     
