cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
196    38     fmul            64     2    0        62    
197    39     fmul            64     2    0        62    
198    40     fadd            64     2    0        62    
199    41     fcmp            1      1    0        0     
200    43     load            64     53   0        11    
201    44     load            64     18   0        46    
202    0      alloca          64     1    51       12    
203    2      load            64     18   0        46    
204    3      fmul            64     19   0        45    
205    4      call            64     18   0        46    
206    5      fmul            64     18   0        46    
207    6      fdiv            64     18   0        46    
208    45     call            64     18   0        46    
209    46     call            32     0    0        32    
210    48     call            64     55   0        9     
211    49     fmul            64     55   0        9     
212    50     fdiv            64     55   0        9     
213    51     load            64     58   0        6     
214    52     fadd            64     58   0        6     
215    36     load            64     9    0        55    
216    37     call            64     10   0        54    
217    38     fmul            64     2    0        62    
218    39     fmul            64     2    0        62    
219    40     fadd            64     2    0        62    
220    41     fcmp            1      1    0        0     
221    43     load            64     54   0        10    
222    44     load            64     19   0        45    
223    0      alloca          64     1    51       12    
224    2      load            64     19   0        45    
225    3      fmul            64     19   0        45    
226    4      call            64     19   0        45    
227    5      fmul            64     19   0        45    
228    6      fdiv            64     19   0        45    
229    45     call            64     19   0        45    
230    46     call            32     0    0        32    
231    48     call            64     55   0        9     
232    49     fmul            64     55   0        9     
233    50     fdiv            64     55   0        9     
234    51     load            64     58   0        6     
235    52     fadd            64     58   0        6     
236    36     load            64     9    0        55    
237    37     call            64     10   0        54    
238    38     fmul            64     2    0        62    
239    39     fmul            64     2    0        62    
240    40     fadd            64     2    0        62    
241    41     fcmp            1      1    0        0     
242    43     load            64     58   0        6     
243    44     load            64     19   0        45    
244    0      alloca          64     1    53       10    
245    2      load            64     19   0        45    
246    3      fmul            64     19   0        45    
247    4      call            64     19   0        45    
248    5      fmul            64     19   0        45    
249    6      fdiv            64     20   0        44    
250    45     call            64     20   0        44    
251    46     call            32     0    0        32    
252    48     call            64     53   0        11    
253    49     fmul            64     53   0        11    
254    50     fdiv            64     54   0        10    
255    51     load            64     56   0        8     
256    52     fadd            64     56   0        8     
257    36     load            64     9    0        55    
258    37     call            64     10   0        54    
259    38     fmul            64     2    0        62    
260    39     fmul            64     2    0        62    
261    40     fadd            64     2    0        62    
262    41     fcmp            1      1    0        0     
263    43     load            64     54   0        10    
264    44     load            64     19   0        45    
265    0      alloca          64     1    52       11    
266    2      load            64     19   0        45    
267    3      fmul            64     20   0        44    
268    4      call            64     19   0        45    
269    5      fmul            64     19   0        45    
270    6      fdiv            64     20   0        44    
271    45     call            64     20   0        44    
272    46     call            32     0    0        32    
273    48     call            64     53   0        11    
274    49     fmul            64     53   0        11    
275    50     fdiv            64     54   0        10    
276    51     load            64     56   0        8     
277    52     fadd            64     56   0        8     
278    36     load            64     10   0        54    
279    37     call            64     10   0        54    
280    38     fmul            64     2    0        62    
281    39     fmul            64     3    0        61    
282    40     fadd            64     3    0        61    
283    41     fcmp            1      1    0        0     
284    43     load            64     54   0        10    
285    44     load            64     19   0        45    
286    0      alloca          64     2    49       13    
287    2      load            64     19   0        45    
288    3      fmul            64     20   0        44    
289    4      call            64     20   0        44    
290    5      fmul            64     20   0        44    
291    6      fdiv            64     20   0        44    
292    45     call            64     20   0        44    
293    46     call            32     0    0        32    
294    48     call            64     53   0        11    
295    49     fmul            64     53   0        11    
296    50     fdiv            64     54   0        10    
297    51     load            64     56   0        8     
298    52     fadd            64     57   0        7     
299    36     load            64     9    0        55    
300    37     call            64     10   0        54    
301    38     fmul            64     2    0        62    
302    39     fmul            64     3    0        61    
303    40     fadd            64     3    0        61    
304    41     fcmp            1      1    0        0     
305    43     load            64     55   0        9     
306    44     load            64     20   0        44    
307    0      alloca          64     2    52       10    
308    2      load            64     20   0        44    
309    3      fmul            64     20   0        44    
310    4      call            64     20   0        44    
311    5      fmul            64     20   0        44    
312    6      fdiv            64     20   0        44    
313    45     call            64     20   0        44    
314    46     call            32     0    0        32    
315    48     call            64     53   0        11    
