cycle  INDEX  BIT    OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
2      46     38     alloca          64     0    1        0     
2      46     39     alloca          64     0    1        0     
2      46     40     alloca          64     0    1        0     
2      46     41     alloca          64     0    1        0     
2      46     42     alloca          64     0    1        0     
2      46     43     alloca          64     0    1        0     
2      46     44     alloca          64     0    1        0     
2      46     45     alloca          64     0    1        0     
2      46     46     alloca          64     0    1        0     
2      46     47     alloca          64     0    1        0     
2      46     48     alloca          64     0    1        0     
2      46     49     alloca          64     0    1        0     
2      46     50     alloca          64     0    1        0     
2      46     51     alloca          64     0    1        0     
2      46     52     alloca          64     0    1        0     
2      46     53     alloca          64     0    1        0     
2      46     54     alloca          64     0    1        0     
2      46     55     alloca          64     0    1        0     
2      46     56     alloca          64     0    1        0     
2      46     57     alloca          64     0    1        0     
2      46     58     alloca          64     0    1        0     
2      46     59     alloca          64     0    1        0     
2      46     60     alloca          64     0    1        0     
2      46     61     alloca          64     0    1        0     
2      46     62     alloca          64     0    1        0     
2      46     63     alloca          64     0    1        0     
3      47     0      alloca          64     0    0        1     
3      47     1      alloca          64     0    0        1     
3      47     2      alloca          64     0    0        1     
3      47     3      alloca          64     0    1        0     
3      47     4      alloca          64     1    0        0     
3      47     5      alloca          64     1    0        0     
3      47     6      alloca          64     1    0        0     
3      47     7      alloca          64     0    0        1     
3      47     8      alloca          64     0    0        1     
3      47     9      alloca          64     0    0        1     
3      47     10     alloca          64     0    0        1     
3      47     11     alloca          64     0    0        1     
3      47     12     alloca          64     0    0        1     
3      47     13     alloca          64     0    0        1     
3      47     14     alloca          64     0    1        0     
3      47     15     alloca          64     0    0        1     
3      47     16     alloca          64     0    0        1     
3      47     17     alloca          64     0    1        0     
3      47     18     alloca          64     0    1        0     
3      47     19     alloca          64     0    1        0     
3      47     20     alloca          64     0    1        0     
3      47     21     alloca          64     0    1        0     
3      47     22     alloca          64     0    1        0     
3      47     23     alloca          64     0    1        0     
3      47     24     alloca          64     0    1        0     
3      47     25     alloca          64     0    1        0     
3      47     26     alloca          64     0    1        0     
3      47     27     alloca          64     0    1        0     
3      47     28     alloca          64     0    1        0     
3      47     29     alloca          64     0    1        0     
3      47     30     alloca          64     0    1        0     
3      47     31     alloca          64     0    1        0     
3      47     32     alloca          64     0    1        0     
3      47     33     alloca          64     0    1        0     
3      47     34     alloca          64     0    1        0     
3      47     35     alloca          64     0    1        0     
3      47     36     alloca          64     0    1        0     
3      47     37     alloca          64     0    1        0     
3      47     38     alloca          64     0    1        0     
3      47     39     alloca          64     0    1        0     
3      47     40     alloca          64     0    1        0     
3      47     41     alloca          64     0    1        0     
3      47     42     alloca          64     0    1        0     
3      47     43     alloca          64     0    1        0     
3      47     44     alloca          64     0    1        0     
3      47     45     alloca          64     0    1        0     
3      47     46     alloca          64     0    1        0     
3      47     47     alloca          64     0    1        0     
3      47     48     alloca          64     0    1        0     
3      47     49     alloca          64     0    1        0     
3      47     50     alloca          64     0    1        0     
3      47     51     alloca          64     0    1        0     
3      47     52     alloca          64     0    1        0     
3      47     53     alloca          64     0    1        0     
3      47     54     alloca          64     0    1        0     
3      47     55     alloca          64     0    1        0     
3      47     56     alloca          64     0    1        0     
3      47     57     alloca          64     0    1        0     
3      47     58     alloca          64     0    1        0     
3      47     59     alloca          64     0    1        0     
3      47     60     alloca          64     0    1        0     
3      47     61     alloca          64     0    1        0     
3      47     62     alloca          64     0    1        0     
3      47     63     alloca          64     0    1        0     
4      10     0      alloca          64     0    0        1     
4      10     1      alloca          64     0    0        1     
4      10     2      alloca          64     0    0        1     
4      10     3      alloca          64     0    0        1     
4      10     4      alloca          64     0    1        0     
4      10     5      alloca          64     0    0        1     
4      10     6      alloca          64     0    1        0     
4      10     7      alloca          64     0    0        1     
4      10     8      alloca          64     0    0        1     
4      10     9      alloca          64     0    0        1     
4      10     10     alloca          64     0    0        1     
4      10     11     alloca          64     0    0        1     
4      10     12     alloca          64     0    0        1     
4      10     13     alloca          64     0    0        1     
4      10     14     alloca          64     0    0        1     
4      10     15     alloca          64     0    1        0     
4      10     16     alloca          64     0    1        0     
4      10     17     alloca          64     0    1        0     
4      10     18     alloca          64     0    1        0     
4      10     19     alloca          64     0    1        0     
4      10     20     alloca          64     0    1        0     
4      10     21     alloca          64     0    1        0     
4      10     22     alloca          64     0    1        0     
4      10     23     alloca          64     0    1        0     
4      10     24     alloca          64     0    1        0     
4      10     25     alloca          64     0    1        0     
4      10     26     alloca          64     0    1        0     
4      10     27     alloca          64     0    1        0     
4      10     28     alloca          64     0    1        0     
4      10     29     alloca          64     0    1        0     
4      10     30     alloca          64     0    1        0     
4      10     31     alloca          64     0    1        0     
4      10     32     alloca          64     0    1        0     
4      10     33     alloca          64     0    1        0     
4      10     34     alloca          64     0    1        0     
4      10     35     alloca          64     0    1        0     
4      10     36     alloca          64     0    1        0     
4      10     37     alloca          64     0    1        0     
4      10     38     alloca          64     0    1        0     
4      10     39     alloca          64     0    1        0     
4      10     40     alloca          64     0    1        0     
4      10     41     alloca          64     0    1        0     
4      10     42     alloca          64     0    1        0     
4      10     43     alloca          64     0    1        0     
4      10     44     alloca          64     0    1        0     
4      10     45     alloca          64     0    1        0     
4      10     46     alloca          64     0    1        0     
4      10     47     alloca          64     0    1        0     
4      10     48     alloca          64     0    1        0     
4      10     49     alloca          64     0    1        0     
4      10     50     alloca          64     0    1        0     
4      10     51     alloca          64     0    1        0     
4      10     52     alloca          64     0    1        0     
4      10     53     alloca          64     0    1        0     
4      10     54     alloca          64     0    1        0     
4      10     55     alloca          64     0    1        0     
4      10     56     alloca          64     0    1        0     
4      10     57     alloca          64     0    1        0     
4      10     58     alloca          64     0    1        0     
4      10     59     alloca          64     0    1        0     
4      10     60     alloca          64     0    1        0     
4      10     61     alloca          64     0    1        0     
4      10     62     alloca          64     0    1        0     
4      10     63     alloca          64     0    1        0     
5      11     0      load            32     0    0        1     
5      11     1      load            32     0    0        1     
5      11     2      load            32     0    0        1     
5      11     3      load            32     0    0        1     
5      11     4      load            32     0    0        1     
5      11     5      load            32     0    0        1     
5      11     6      load            32     0    0        1     
5      11     7      load            32     0    0        1     
5      11     8      load            32     0    0        1     
5      11     9      load            32     0    0        1     
5      11     10     load            32     0    0        1     
5      11     11     load            32     0    0        1     
5      11     12     load            32     0    0        1     
5      11     13     load            32     0    0        1     
5      11     14     load            32     0    0        1     
5      11     15     load            32     0    0        1     
5      11     16     load            32     0    0        1     
5      11     17     load            32     0    0        1     
5      11     18     load            32     0    0        1     
5      11     19     load            32     0    0        1     
5      11     20     load            32     0    0        1     
5      11     21     load            32     0    0        1     
5      11     22     load            32     0    0        1     
5      11     23     load            32     0    0        1     
5      11     24     load            32     0    0        1     
5      11     25     load            32     0    0        1     
5      11     26     load            32     0    0        1     
5      11     27     load            32     0    0        1     
5      11     28     load            32     0    0        1     
5      11     29     load            32     0    0        1     
5      11     30     load            32     0    0        1     
5      11     31     load            32     0    0        1     
6      12     0      load            32     0    0        1     
6      12     1      load            32     0    0        1     
6      12     2      load            32     0    0        1     
6      12     3      load            32     0    0        1     
6      12     4      load            32     0    0        1     
6      12     5      load            32     0    0        1     
6      12     6      load            32     0    0        1     
6      12     7      load            32     0    0        1     
6      12     8      load            32     0    0        1     
6      12     9      load            32     0    0        1     
6      12     10     load            32     0    0        1     
6      12     11     load            32     0    0        1     
6      12     12     load            32     0    0        1     
6      12     13     load            32     0    0        1     
6      12     14     load            32     0    0        1     
6      12     15     load            32     0    0        1     
6      12     16     load            32     0    0        1     
6      12     17     load            32     0    0        1     
6      12     18     load            32     0    0        1     
6      12     19     load            32     0    0        1     
6      12     20     load            32     0    0        1     
6      12     21     load            32     0    0        1     
6      12     22     load            32     0    0        1     
6      12     23     load            32     0    0        1     
6      12     24     load            32     0    0        1     
6      12     25     load            32     0    0        1     
6      12     26     load            32     0    0        1     
6      12     27     load            32     0    0        1     
6      12     28     load            32     0    0        1     
6      12     29     load            32     0    0        1     
6      12     30     load            32     0    0        1     
6      12     31     load            32     0    0        1     
7      13     0      icmp            1      1    0        0     
8      19     0      load            32     1    0        0     
8      19     1      load            32     1    0        0     
8      19     2      load            32     1    0        0     
8      19     3      load            32     1    0        0     
8      19     4      load            32     1    0        0     
8      19     5      load            32     1    0        0     
8      19     6      load            32     1    0        0     
8      19     7      load            32     1    0        0     
8      19     8      load            32     1    0        0     
8      19     9      load            32     1    0        0     
8      19     10     load            32     1    0        0     
8      19     11     load            32     1    0        0     
8      19     12     load            32     1    0        0     
8      19     13     load            32     1    0        0     
8      19     14     load            32     1    0        0     
8      19     15     load            32     1    0        0     
8      19     16     load            32     1    0        0     
8      19     17     load            32     1    0        0     
8      19     18     load            32     1    0        0     
8      19     19     load            32     1    0        0     
8      19     20     load            32     1    0        0     
8      19     21     load            32     1    0        0     
8      19     22     load            32     1    0        0     
8      19     23     load            32     1    0        0     
8      19     24     load            32     1    0        0     
8      19     25     load            32     1    0        0     
8      19     26     load            32     1    0        0     
8      19     27     load            32     1    0        0     
8      19     28     load            32     1    0        0     
8      19     29     load            32     1    0        0     
8      19     30     load            32     1    0        0     
8      19     31     load            32     1    0        0     
9      49     0      call            32     1    0        0     
9      49     1      call            32     1    0        0     
9      49     2      call            32     1    0        0     
9      49     3      call            32     1    0        0     
9      49     4      call            32     1    0        0     
9      49     5      call            32     1    0        0     
9      49     6      call            32     1    0        0     
9      49     7      call            32     1    0        0     
9      49     8      call            32     1    0        0     
9      49     9      call            32     1    0        0     
9      49     10     call            32     1    0        0     
