cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
193    155    sext            64     0    53       11    
194    156    getelementptr   64     2    51       11    
195    157    getelementptr   64     1    51       12    
196    158    load            32     1    0        31    
197    159    icmp            1      1    0        0     
198    165    load            32     9    21       2     
199    166    add             32     9    21       2     
200    149    load            32     0    0        32    
201    150    icmp            1      0    0        1     
202    152    load            32     1    22       9     
203    153    sext            64     1    52       11    
204    154    load            32     0    24       8     
205    155    sext            64     0    53       11    
206    156    getelementptr   64     1    51       12    
207    157    getelementptr   64     1    51       12    
208    158    load            32     1    0        31    
209    159    icmp            1      1    0        0     
210    165    load            32     8    22       2     
211    166    add             32     0    1        31    
212    149    load            32     0    0        32    
213    150    icmp            1      0    0        1     
214    112    alloca          64     1    50       13    
215    113    alloca          64     0    47       17    
216    115    load            64     11   48       5     
217    116    getelementptr   64     8    50       6     
218    117    load            32     2    0        30    
219    118    icmp            1      1    0        0     
220    124    load            32     32   0        0     
221    134    call            32     32   0        0     
222    135    icmp            1      1    0        0     
223    50     alloca          64     0    51       13    
224    51     alloca          64     0    50       14    
225    53     load            64     9    48       7     
226    54     getelementptr   64     7    50       7     
227    55     load            32     2    0        30    
228    56     icmp            1      1    0        0     
229    60     load            64     5    58       1     
230    61     getelementptr   64     8    55       1     
231    62     load            32     5    27       0     
232    63     sext            64     5    57       2     
233    64     load            64     8    56       0     
234    65     getelementptr   64     8    56       0     
235    66     getelementptr   64     10   54       0     
236    67     load            32     8    24       0     
237    70     load            32     9    23       0     
238    137    call            32     8    24       0     
239    139    load            32     32   0        0     
240    140    add             32     32   0        0     
241    141    getelementptr   64     14   48       2     
242    142    load            32     32   0        0     
243    143    getelementptr   64     15   49       0     
244    144    load            32     32   0        0     
245    145    call            32     0    0        32    
246    94     alloca          64     1    52       11    
247    96     load            64     5    57       2     
248    97     getelementptr   64     6    55       3     
249    98     load            32     2    30       0     
250    99     add             32     2    30       0     
251    100    srem            32     3    29       0     
252    101    load            64     12   52       0     
253    102    getelementptr   64     14   50       0     
254    104    load            64     7    57       0     
255    105    getelementptr   64     6    58       0     
256    106    load            32     2    30       0     
257    107    sub             32     2    30       0     
258    108    load            64     0    64       0     
259    109    getelementptr   64     0    64       0     
260    149    load            32     0    0        32    
261    150    icmp            1      0    0        1     
262    152    load            32     0    22       10    
263    153    sext            64     0    52       12    
264    154    load            32     2    24       6     
265    155    sext            64     2    53       9     
266    156    getelementptr   64     0    51       13    
267    157    getelementptr   64     0    51       13    
268    158    load            32     1    0        31    
269    159    icmp            1      1    0        0     
270    165    load            32     0    21       11    
271    166    add             32     0    21       11    
272    149    load            32     0    0        32    
273    150    icmp            1      0    0        1     
274    152    load            32     0    22       10    
275    153    sext            64     0    52       12    
276    154    load            32     1    24       7     
277    155    sext            64     1    53       10    
278    156    getelementptr   64     0    51       13    
279    157    getelementptr   64     0    51       13    
280    158    load            32     1    0        31    
281    159    icmp            1      1    0        0     
282    165    load            32     0    21       11    
283    166    add             32     0    21       11    
284    149    load            32     0    0        32    
285    150    icmp            1      0    0        1     
286    152    load            32     0    22       10    
287    153    sext            64     0    52       12    
288    154    load            32     0    24       8     
289    155    sext            64     0    53       11    
290    156    getelementptr   64     0    51       13    
291    157    getelementptr   64     1    51       12    
292    158    load            32     1    0        31    
293    159    icmp            1      1    0        0     
294    165    load            32     0    21       11    
295    166    add             32     0    21       11    
296    149    load            32     0    0        32    
297    150    icmp            1      0    0        1     
298    152    load            32     0    22       10    
299    153    sext            64     0    51       13    
300    154    load            32     0    23       9     
301    155    sext            64     0    53       11    
302    156    getelementptr   64     0    51       13    
303    157    getelementptr   64     0    51       13    
304    158    load            32     1    0        31    
305    159    icmp            1      1    0        0     
306    165    load            32     0    21       11    
307    166    add             32     0    21       11    
308    149    load            32     0    0        32    
309    150    icmp            1      0    0        1     
310    152    load            32     0    22       10    
311    153    sext            64     0    52       12    
312    154    load            32     0    24       8     
313    155    sext            64     0    53       11    
314    156    getelementptr   64     2    51       11    
315    157    getelementptr   64     2    51       11    
316    158    load            32     1    0        31    
317    159    icmp            1      1    0        0     
318    165    load            32     0    21       11    
319    166    add             32     0    21       11    
320    149    load            32     0    0        32    
321    150    icmp            1      0    0        1     
322    152    load            32     0    22       10    
323    153    sext            64     0    52       12    
324    154    load            32     0    24       8     
325    155    sext            64     0    53       11    
326    156    getelementptr   64     1    51       12    
327    157    getelementptr   64     1    51       12    
328    158    load            32     1    0        31    
329    159    icmp            1      1    0        0     
330    165    load            32     0    22       10    
331    166    add             32     0    1        31    
332    149    load            32     1    0        31    
333    150    icmp            1      1    0        0     
334    112    alloca          64     0    49       15    
335    113    alloca          64     0    50       14    
336    115    load            64     6    48       10    
337    116    getelementptr   64     3    50       11    
338    117    load            32     2    0        30    
339    118    icmp            1      1    0        0     
340    124    load            32     32   0        0     
341    134    call            32     32   0        0     
342    135    icmp            1      1    0        0     
343    50     alloca          64     0    51       13    
344    51     alloca          64     0    47       17    
345    53     load            64     7    48       9     
346    54     getelementptr   64     2    49       13    
347    55     load            32     2    0        30    
348    56     icmp            1      1    0        0     
349    60     load            64     6    57       1     
350    61     getelementptr   64     8    55       1     
351    62     load            32     7    25       0     
352    63     sext            64     8    54       2     
353    64     load            64     6    57       1     
354    65     getelementptr   64     9    54       1     
355    66     getelementptr   64     5    59       0     
356    67     load            32     8    24       0     
357    70     load            32     8    24       0     
358    137    call            32     8    24       0     
359    139    load            32     32   0        0     
360    140    add             32     32   0        0     
361    141    getelementptr   64     15   48       1     
362    142    load            32     32   0        0     
363    143    getelementptr   64     13   50       1     
364    144    load            32     32   0        0     
365    145    call            32     0    0        32    
366    94     alloca          64     0    53       11    
367    96     load            64     9    51       4     
368    97     getelementptr   64     8    53       3     
369    98     load            32     1    31       0     
370    99     add             32     2    30       0     
371    100    srem            32     2    30       0     
372    101    load            64     13   51       0     
373    102    getelementptr   64     11   53       0     
374    104    load            64     9    55       0     
375    105    getelementptr   64     6    57       1     
376    106    load            32     2    30       0     
377    107    sub             32     1    31       0     
378    108    load            64     0    64       0     
379    109    getelementptr   64     0    64       0     
380    149    load            32     1    0        31    
381    150    icmp            1      1    0        0     
382    152    load            32     10   22       0     
383    153    sext            64     10   52       2     
384    154    load            32     8    24       0     
385    155    sext            64     8    53       3     
386    156    getelementptr   64     13   51       0     
387    157    getelementptr   64     13   51       0     
388    158    load            32     32   0        0     
389    159    icmp            1      1    0        0     
390    161    load            32     8    24       0     
391    12     alloca          64     1    51       12    
392    13     alloca          64     2    51       11    
393    16     load            64     8    48       8     
394    17     getelementptr   64     6    48       10    
395    18     load            32     23   0        9     
396    19     icmp            1      1    0        0     
397    24     load            64     0    64       0     
398    25     getelementptr   64     0    64       0     
399    26     load            32     0    32       0     
400    27     add             32     0    32       0     
401    28     srem            32     0    32       0     
402    29     load            64     0    64       0     
403    30     getelementptr   64     1    63       0     
404    32     load            32     8    24       0     
405    33     load            64     0    63       1     
406    34     getelementptr   64     0    62       2     
407    35     load            32     0    32       0     
408    36     sext            64     0    62       2     
409    37     load            64     1    63       0     
410    38     getelementptr   64     0    64       0     
411    39     getelementptr   64     0    64       0     
412    41     load            64     2    58       4     
413    42     getelementptr   64     2    58       4     
414    43     load            32     1    31       0     
415    44     add             32     2    30       0     
416    45     load            64     14   50       0     
417    46     getelementptr   64     13   51       0     
418    165    load            32     8    21       3     
419    166    add             32     9    21       2     
420    149    load            32     0    0        32    
421    150    icmp            1      0    0        1     
422    152    load            32     1    22       9     
423    153    sext            64     1    52       11    
424    154    load            32     0    24       8     
425    155    sext            64     0    53       11    
426    156    getelementptr   64     1    51       12    
427    157    getelementptr   64     1    51       12    
428    158    load            32     1    0        31    
429    159    icmp            1      1    0        0     
430    165    load            32     8    21       3     
431    166    add             32     8    21       3     
432    149    load            32     0    0        32    
433    150    icmp            1      0    0        1     
434    152    load            32     0    22       10    
435    153    sext            64     0    52       12    
436    154    load            32     1    24       7     
437    155    sext            64     1    53       10    
438    156    getelementptr   64     2    51       11    
439    157    getelementptr   64     1    51       12    
440    158    load            32     1    0        31    
441    159    icmp            1      1    0        0     
442    165    load            32     8    21       3     
443    166    add             32     8    21       3     
444    149    load            32     0    0        32    
445    150    icmp            1      0    0        1     
446    152    load            32     0    22       10    
